dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:09:31.604733,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:09:41.648717,0.02,0.00,40.31,15.10,61101.39,21071.19,2320044.50,21.59
2022-03-25 19:09:51.677729,0.02,0.00,38.01,13.92,54037.00,18983.75,1865203.50,19.73
2022-03-25 19:10:01.706839,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:10:11.735803,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:10:21.765098,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:10:31.794279,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:10:41.838445,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:10:51.867289,0.02,0.00,36.94,13.38,50928.02,18052.25,1679040.30,18.90
2022-03-25 19:11:01.896501,0.02,0.00,36.94,12.88,48063.41,17186.33,1679040.30,18.90
2022-03-25 19:11:11.925283,0.02,0.00,36.94,13.38,50928.02,18052.25,1679040.30,18.90
2022-03-25 19:11:21.954252,0.03,0.00,25.25,7.89,22961.39,9178.73,410594.22,10.57
2022-03-25 19:11:31.983348,0.03,0.00,25.25,7.89,22961.39,9178.73,410594.22,10.57
2022-03-25 19:11:42.012291,0.03,0.00,24.74,7.67,22009.87,8854.74,381083.03,10.25
2022-03-25 19:11:52.056244,0.03,0.00,25.77,8.36,25044.55,9881.11,442964.84,10.90
2022-03-25 19:12:02.085527,0.03,0.00,34.97,11.54,40707.99,14925.69,1370584.40,17.38
2022-03-25 19:12:12.114655,0.02,0.00,36.94,13.38,50928.02,18052.25,1679040.30,18.90
2022-03-25 19:12:22.143674,0.02,0.00,35.93,12.88,48063.41,17186.33,1515203.10,18.11
2022-03-25 19:12:32.172772,0.02,0.00,36.94,13.38,50928.02,18052.25,1679040.30,18.90
2022-03-25 19:12:42.216701,0.02,0.00,36.94,13.38,50928.02,18052.25,1679040.30,18.90
2022-03-25 19:12:52.245790,0.02,0.00,40.31,15.10,61101.39,21071.19,2320044.50,21.59
2022-03-25 19:13:02.274884,0.02,0.00,38.01,14.49,57417.68,19987.53,1865203.50,19.73
2022-03-25 19:13:12.304017,0.02,0.00,39.13,15.10,61101.39,21071.19,2077394.80,20.63
2022-03-25 19:13:22.333265,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:13:32.377107,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:13:42.406135,0.02,0.00,39.13,15.10,61101.39,21071.19,2077394.80,20.63
2022-03-25 19:13:52.435450,0.02,0.00,39.13,14.49,57417.68,19987.53,2077394.80,20.63
2022-03-25 19:14:02.464404,0.02,0.00,36.94,13.92,54037.00,18983.75,1679040.30,18.90
2022-03-25 19:14:12.493470,0.02,0.00,38.01,13.92,54037.00,18983.75,1865203.50,19.73
